1.000000000000000000e+00 -1.029618902958566196e+01 -1.096290769077611884e+02
2.000000000000000000e+00 -1.081504144044441595e+01 -6.334649571742212970e+01
3.000000000000000000e+00 -1.277457327764570216e+01 -3.485561255887727583e+01
4.000000000000000000e+00 -1.280408939525753809e+01 -2.485161235928539725e+01
5.000000000000000000e+00 -1.324056422312233039e+01 -2.506079995349945477e+01
6.000000000000000000e+00 -1.324075686995674772e+01 -2.103407641180302079e+01
7.000000000000000000e+00 -1.338858296199567732e+01 -1.889103214932282881e+01
8.000000000000000000e+00 -1.339040930572045518e+01 -1.812636314700016271e+01
9.000000000000000000e+00 -1.345373947082703303e+01 -1.569313138836136368e+01
1.000000000000000000e+01 -1.345768939014094556e+01 -1.543803291131023769e+01
1.100000000000000000e+01 -1.348963387646563383e+01 -1.394646815661883821e+01
1.200000000000000000e+01 -1.349427632940626154e+01 -1.339868183914041921e+01
1.300000000000000000e+01 -1.351248824116821545e+01 -1.335253960129629291e+01
1.400000000000000000e+01 -1.351700304046897472e+01 -1.333875573743839205e+01
1.500000000000000000e+01 -1.352840928088814998e+01 -1.333771598357666122e+01
1.600000000000000000e+01 -1.353247450905456262e+01 -1.333769747565741604e+01
1.700000000000000000e+01 -1.354015719383536087e+01 -1.333769697955463585e+01
1.800000000000000000e+01 -1.354367253330138965e+01 -1.333769250469095624e+01
1.900000000000000000e+01 -1.354917922521119245e+01 -1.333769242496056151e+01
