1.000000000000000056e-01 1.646619302350875555e-04 3.097564349261942773e-06 3.837326908788858844e-05 3.662947212624456258e-06 1.004811311458878903e-05 3.958497800438539394e-06 4.648947455327466704e-06 4.081661104623532045e-06
3.002004008016032621e-01 1.285566980436980353e-02 2.403798053602672282e-04 3.016153055294463169e-03 2.869283615694809405e-04 7.915620793265336179e-04 3.109216553133949384e-04 3.672929029855159159e-04 3.218376108615879317e-04
5.004008016032064354e-01 9.172876491467349402e-02 1.694113090464126553e-03 2.181420619840643629e-02 2.060849789513559578e-03 5.750799302477573385e-03 2.245411127956947230e-03 2.683915118913109219e-03 2.342367264429653234e-03
7.006012024048097198e-01 3.133252807211042157e-01 5.676464790911443098e-03 7.605183867956367971e-02 7.108388391479892980e-03 2.018581005372597353e-02 7.809427424969186439e-03 9.502746335654902593e-03 8.242770312320325810e-03
9.008016032064128931e-01 7.326068619804848581e-01 1.291859597272237807e-02 1.827868102692116470e-01 1.683330445060740588e-02 4.895887525740993257e-02 1.870214171786980378e-02 2.331491154998443366e-02 2.005408247872336389e-02
1.101002004008016177e+00 1.347438085928865714e+00 2.291642611677610630e-02 3.481036911561384839e-01 3.143965405149036496e-02 9.431054714464470745e-02 3.543363605952828954e-02 4.555925575376180287e-02 3.876155114084053888e-02
1.301202404809619573e+00 2.089532408157678933e+00 3.389857197773575581e-02 5.631576390694339462e-01 4.961538260256029287e-02 1.546932656861786104e-01 5.691129120187556761e-02 7.601143476522508047e-02 6.378830180857519849e-02
1.501402805611222746e+00 2.844643165981148414e+00 4.341964819658068742e-02 8.059700974225291192e-01 6.883128702187975290e-02 2.249975268258819772e-01 8.063964360563712075e-02 1.127443152230922924e-01 9.302745924274678779e-02
1.701603206412825919e+00 3.490392088155289674e+00 4.925460061951175694e-02 1.047714421609023061e+00 8.608351211486925392e-02 2.979459999659298530e-01 1.034035625424133131e-01 1.526140683405333154e-01 1.233600997391553072e-01
1.901803607214429093e+00 3.933549325660596896e+00 5.015559197945814590e-02 1.260593212830845689e+00 9.874202579810976987e-02 3.660135393517365276e-01 1.221278353423225910e-01 1.920444752526277166e-01 1.514255851667120623e-01
2.102004008016032266e+00 4.131941348426732219e+00 4.616326382289455410e-02 1.424293739255013680e+00 1.051795046835369979e-01 4.231474080308664787e-01 1.345889593216792746e-01 2.278175131825082578e-01 1.743598635096417215e-01
2.302204408817635439e+00 4.095798255696363910e+00 3.842465336796938025e-02 1.529163253860626348e+00 1.050049791695198409e-01 4.657823799529556275e-01 1.397740334387505279e-01 2.576346438792039839e-01 1.902843758561850174e-01
2.502404809619239057e+00 3.873044897608122650e+00 2.869652958400073506e-02 1.575873161450489501e+00 9.891540935858905703e-02 4.930078593781994645e-01 1.378549360469449869e-01 2.803413762152233701e-01 1.984602307996714832e-01
